duration_as_adoptable,age,breed_mixed,breed_primary,city,coat,color_primary,distance,gender,goodwith_cats,goodwith_children,goodwith_dogs,hasimage,hasvideo,house_trained,population,shots_current,size,spayed_neutered,special_needs
13.542743055555556,Baby,True,Labrador Retriever,Olympia,unknown,Black,8.3124,Female,True,True,True,True,True,False,48941.0,True,Medium,True,False
7.492256944444446,Baby,True,Shepherd,Olympia,unknown,Black,8.3124,Female,unknown,unknown,unknown,True,False,False,48941.0,True,Medium,True,False
14.160914351851853,Baby,True,Shepherd,Olympia,unknown,Black,8.3124,Female,False,True,True,True,False,False,48941.0,True,Medium,True,False
4.593518518518519,Baby,True,Terrier,Olympia,unknown,Brindle,8.3124,Female,True,True,True,True,False,False,48941.0,True,Medium,True,False
12.602256944444445,Baby,False,Pit Bull Terrier,Burlington,Short,Brindle,0.6935,Male,unknown,unknown,True,True,False,True,8509.0,True,Medium,True,False
1.0133564814814815,Baby,True,Siberian Husky,Stanwood,unknown,Bicolor,4.0267,Female,unknown,unknown,unknown,True,False,False,6560.0,True,Large,True,False
4.915729166666667,Senior,True,Miniature Pinscher,Stanwood,unknown,Black,4.0267,Female,unknown,unknown,unknown,True,False,False,6560.0,True,Small,True,False
7.025520833333332,Adult,True,Mixed Breed,Stanwood,unknown,Black,4.0267,Female,unknown,unknown,unknown,True,False,False,6560.0,True,Medium,True,False
1.9523842592592595,Young,True,Mixed Breed,Stanwood,unknown,Yellow / Tan / Blond / Fawn,4.0267,Male,unknown,False,unknown,True,False,False,6560.0,True,Medium,True,False
15.060428240740741,Adult,True,Australian Cattle Dog / Blue Heeler,Stanwood,unknown,Black,4.0267,Male,unknown,unknown,unknown,True,False,False,6560.0,True,Large,True,True
5.898020833333334,Young,True,Mixed Breed,Stanwood,unknown,Brindle,4.0267,Female,False,unknown,unknown,True,False,False,6560.0,True,Large,True,False
18.948113425925925,Adult,True,Mixed Breed,Stanwood,unknown,Brindle,4.0267,Female,False,False,unknown,True,False,False,6560.0,True,Medium,True,False
1.0392824074074074,Adult,True,Mixed Breed,Stanwood,unknown,Brindle,4.0267,Male,False,False,unknown,True,False,False,6560.0,True,Large,True,False
23.004571759259264,Young,True,Maltese,Burlington,Medium,Apricot / Beige,0.6935,Male,unknown,True,True,True,False,True,8509.0,True,Small,True,False
54.961030092592594,Adult,True,Labrador Retriever,Burlington,Short,Apricot / Beige,0.6935,Female,False,True,True,True,False,True,8509.0,True,Medium,True,False
14.956122685185184,Adult,False,Poodle,Burlington,Curly,White / Cream,0.6935,Female,unknown,False,True,True,False,True,8509.0,True,Small,True,True
19.81539351851852,Adult,False,Poodle,Burlington,Curly,White / Cream,0.6935,Female,unknown,False,True,True,False,True,8509.0,True,Small,True,True
19.831921296296297,Adult,True,Wirehaired Terrier,Burlington,Wire,Apricot / Beige,0.6935,Male,True,unknown,True,True,False,True,8509.0,True,Small,True,False
5.86,Adult,False,Chihuahua,Burlington,Short,Black,0.6935,Female,True,unknown,True,True,False,True,8509.0,True,Small,True,False
39.949699074074076,Adult,True,German Shepherd Dog,Burlington,Medium,Black,0.6935,Female,unknown,unknown,True,True,False,True,8509.0,True,Medium,True,False
12.892465277777774,Adult,False,Cocker Spaniel,Burlington,Medium,Apricot / Beige,0.6935,Male,unknown,unknown,True,True,False,True,8509.0,True,Medium,True,False
