index,Total population,Total population Male,Total population Female,Total population Median age (years),Total population 18 and over,Total population 18 and over Male,Total population 18 and over Female
Naselle,342,167,175,50.6,286,137,149
Navy Yard City,2622,1465,1157,34.5,1986,1125,861
Neah Bay,945,507,438,32.5,653,357,296
Neilton,361,197,164,42.7,253,146,107
Nespelem,173,76,97,30.9,128,55,73
Nespelem Community,230,118,112,42.5,176,104,72
Newcastle,10994,5579,5415,38.8,7684,3849,3835
Newport,2263,1154,1109,37.7,1644,792,852
Nile,89,47,42,78.9,89,47,42
Nisqually Indian Community,644,339,305,32.6,450,236,214
Nooksack,1807,879,928,28.4,1034,525,509
Normandy Park,6568,3148,3420,46.6,4924,2408,2516
North Bend,6305,3134,3171,37.4,4171,1934,2237
North Bonneville,1317,639,678,39.9,1053,499,554
North Fort Lewis,3682,2315,1367,23.1,2720,1782,938
North Lynnwood,18829,9073,9756,32.5,12548,6289,6259
North Marysville,137,96,41,59.1,125,84,41
North Omak,773,336,437,32.8,493,218,275
North Puyallup,1758,966,792,55.0,1486,791,695
North Sultan,201,95,106,45.0,156,83,73
North Yelm,2700,1393,1307,35.1,1900,788,1112
Northport,334,172,162,46.5,267,132,135
Northwest Stanwood,82,40,42,36.7,62,40,22
Oak Harbor,22331,11047,11284,30.3,15571,7738,7833
Oakesdale,543,283,260,46.9,422,206,216
Oakville,725,333,392,36.5,525,237,288
Ocean City,156,99,57,31.8,122,82,40
Ocean Park,1315,661,654,60.3,1176,547,629
Ocean Shores,5637,2818,2819,58.7,4904,2341,2563
Odessa,744,370,374,56.2,642,320,322
Okanogan,2594,1310,1284,42.3,1915,953,962
Olympia,48941,23780,25161,37.3,37318,17782,19536
Omak,4812,2399,2413,35.4,3238,1604,1634
Onalaska,977,482,495,29.7,635,351,284
Orchards,21299,10651,10648,30.3,13495,6761,6734
Orient,73,47,26,57.8,70,45,25
Oroville,1863,934,929,43.1,1338,676,662
Orting,7078,3518,3560,31.9,4815,2332,2483
Oso,231,126,105,44.7,173,97,76
Othello,7624,3781,3843,26.9,3169,1419,1750
Otis Orchards-East Farms,6792,3122,3670,43.5,5061,2527,2534
Outlook,305,141,164,23.6,164,66,98
Pacific,6954,3552,3402,33.6,4499,2209,2290
Pacific Beach,216,115,101,56.7,202,115,87
Packwood,212,128,84,66.7,212,128,84
Palouse,1071,493,578,40.1,768,341,427
Parker,125,88,37,38.3,81,44,37
Parkland,36318,17898,18420,31.6,25257,12474,12783
Parkwood,7294,3754,3540,36.1,5552,2750,2802
Pasco,67391,34406,32985,28.5,33118,16727,16391
Pateros,678,338,340,30.6,345,144,201
Pe Ell,553,283,270,38.1,434,209,225
Peaceful Valley,3654,1816,1838,37.0,2301,1156,1145
Picnic Point,9094,4466,4628,42.4,6604,3326,3278
Pine Grove,136,71,65,63.1,113,61,52
Point Roberts,1270,614,656,52.6,913,443,470
Pomeroy,1279,574,705,55.4,1004,471,533
Port Angeles,19200,9532,9668,41.9,15016,7459,7557
Port Angeles East,3406,1752,1654,47.1,2738,1308,1430
Port Gamble Tribal Community,898,427,471,40.7,674,340,334
Port Hadlock-Irondale,3552,1964,1588,48.0,3015,1598,1417
Port Ludlow,2382,1251,1131,66.1,2180,1126,1054
Port Orchard,13004,6196,6808,33.3,9580,4633,4947
Port Townsend,9208,3977,5231,56.0,7587,3155,4432
Porter,233,128,105,45.1,190,98,92
Poulsbo,9588,4192,5396,38.1,6617,2900,3717
Prairie Heights,4306,2117,2189,39.4,2996,1523,1473
Prairie Ridge,12495,6214,6281,35.4,9076,4587,4489
Prescott,377,207,170,38.5,226,104,122
Prosser,5819,2797,3022,32.3,3506,1574,1932
Puget Island,798,358,440,41.9,633,275,358
Pullman,31502,15973,15529,22.0,25088,12718,12370
Purdy,1074,543,531,44.4,849,419,430
Puyallup,38720,19478,19242,37.7,29181,14724,14457
Queets,175,80,95,26.5,110,43,67
Qui-nai-elt Village,69,43,26,35.1,35,14,21
Quilcene,437,254,183,48.8,372,218,154
Quincy,7163,3285,3878,27.3,2810,1374,1436
Raft Island,305,146,159,63.3,289,138,151
Rainier,2219,1106,1113,36.1,1597,813,784
Ravensdale,1162,641,521,32.7,886,446,440
Raymond,2800,1298,1502,42.3,2023,889,1134
Reardan,675,305,370,42.9,478,212,266
Redmond,57959,29829,28130,34.3,30603,15173,15430
Renton,97234,48792,48442,35.9,64207,31591,32616
Republic,1154,546,608,46.0,912,402,510
Richland,52291,26284,26007,37.4,37566,18651,18915
Ridgefield,5693,2772,2921,36.5,3620,1696,1924
Ritzville,1603,741,862,48.0,1237,583,654
River Road,383,244,139,57.9,346,207,139
Riverbend,2121,1176,945,40.5,1529,866,663
Riverside,402,201,201,35.2,288,142,146
Rochester,2249,1108,1141,41.8,1779,876,903
Rock Island,856,449,407,35.1,458,219,239
Rockford,367,190,177,42.9,281,148,133
Rockport,78,48,30,60.6,78,48,30
Rocky Point,1592,717,875,45.4,1245,593,652
Ronald,200,122,78,66.4,200,122,78
